"SURVEY_YEAR","BIOMASS_MALE_LE112","CV_BIOMASS_MALE_LE112","CI_BIOMASS_MALE_LE112","BIOMASS_MALE_GE113","CV_BIOMASS_MALE_GE113","CI_BIOMASS_MALE_GE113","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE125","CV_BIOMASS_MALE_GE125","CI_BIOMASS_MALE_GE125","BIOMASS_MALE_113TO124","CV_BIOMASS_MALE_113TO124","CI_BIOMASS_MALE_113TO124","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_BARREN","CV_BIOMASS_FEMALE_BARREN","CI_BIOMASS_FEMALE_BARREN","BIOMASS_FEMALE_OLDNOEGG","CV_BIOMASS_FEMALE_OLDNOEGG","CI_BIOMASS_FEMALE_OLDNOEGG","BIOMASS_FEMALE_NOEGG","CV_BIOMASS_FEMALE_NOEGG","CI_BIOMASS_FEMALE_NOEGG","BIOMASS_FEMALE_HATCHED","CV_BIOMASS_FEMALE_HATCHED","CI_BIOMASS_FEMALE_HATCHED","BIOMASS_FEMALE_NE_TOT","CV_BIOMASS_FEMALE_NE_TOT","CI_BIOMASS_FEMALE_NE_TOT","BIOMASS_FEMALE_TRACE","CV_BIOMASS_FEMALE_TRACE","CI_BIOMASS_FEMALE_TRACE","BIOMASS_FEMALE_QUARTER","CV_BIOMASS_FEMALE_QUARTER","CI_BIOMASS_FEMALE_QUARTER","BIOMASS_FEMALE_HALF","CV_BIOMASS_FEMALE_HALF","CI_BIOMASS_FEMALE_HALF","BIOMASS_FEMALE_THREE_QRT","CV_BIOMASS_FEMALE_THREE_QRT","CI_BIOMASS_FEMALE_THREE_QRT","BIOMASS_FEMALE_FULL","CV_BIOMASS_FEMALE_FULL","CI_BIOMASS_FEMALE_FULL","BIOMASS_FEMALE_SC2","CV_BIOMASS_FEMALE_SC2","CI_BIOMASS_FEMALE_SC2","BIOMASS_FEMALE_SC3","CV_BIOMASS_FEMALE_SC3","CI_BIOMASS_FEMALE_SC3","BIOMASS_FEMALE_SC4","CV_BIOMASS_FEMALE_SC4","CI_BIOMASS_FEMALE_SC4","BIOMASS_FEMALE_SC5","CV_BIOMASS_FEMALE_SC5","CI_BIOMASS_FEMALE_SC5","BIOMASS_FEMALE_OVIGEROUS","CV_BIOMASS_FEMALE_OVIGEROUS","CI_BIOMASS_FEMALE_OVIGEROUS","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,36746.2003778844492501869291396526910197,0.1803966625683702394404440913971271244329,12992.6281440683223485438190719293541579,177455.3424130638619137729864696508765077,0.4996184980687674673541014186665641285808,173773.5444353598807979342490886554680029,168657.9505707227692661527425809295297112,0.5191421212316179853620806636038979264276,171612.5945948502915859721839876275164116,159205.1982580817063278210137300108401767,0.5318019329416113688769746057831906377845,165944.6390492806089781040064085380909981,18250.1441549821555859519727396400363299,0.2570619239163452514648733511124700258677,9195.177649731497525931542948050226764962,214201.5427909483111639599156093035675262,0.4190078613072351285635724258661739707194,175914.1754537491026981210253221789371549,9287.857452126240928198020795663407793155,0.2469220733046987938664498728693536751974,4495.018956529516916670787174772433899314,480.271117465569480055575541482662960611,0.2784639689002540098204521122313045814131,262.126874974540256986789416024351511161,184.998208852693676693444712027806485685,0.4050511674804675638199309649065288142525,146.870131336054729371141797204687003173,534.332414562595732260997234582270953366,0.2812407260015102041038645636828039528964,294.541030947539720494134163240022534707,130.936911755667424488023018928198492929,0.4230367589554739663162159882931204589973,108.566608482442633756253699937836068041,665.269326318263156749020253510469446291,0.2389651678838719196663944032294763362257,311.593344653202888823115276785281435243,68.9495705782331368133131955849846648552,0.542623623109996789590693935379570490674,73.33078496611703004537229301086492869421,3.43396508902840998782114993807134654728,0.9999999999999999999999999999999999999971,6.73057157449568357612945387861983923265,524.948445365713463005232740940674448107,0.3765616252500487540545153351567593824886,387.443861928422991815551409608221620334,561.424815760136179390718920726959723022,0.406701440877276413594045731824776932722,447.531271767257382149025563806865464917,14133.9972857655818260480899278427429597,0.1892912246481400513086172610623261165334,5243.865644576266794356848295185334605901,12321.7877894835542967965380641726050908,0.1691446845899212399848634073967160118773,4084.963222102831746808720940372175801383,3557.287813473824172409349383390505141659,0.4829633861730617679298063689693750070684,3367.357945255470722912388784377383222801,633.27296296007017489941178789590984384,0.4499693323201180775347678461142741174338,558.508688146270259751065383942891143495,509.516102648881662416274128607853507667,0.5908449102751126149488648624155232762062,590.048192068474967386992631829531508176,17641.2249610957895408046591179112596825,0.1946165029810589124763007013968273271679,6729.216080052034059986309141565182207757,27594.351739540293625751700167085136922,0.1667241533115702352700739898709587264176,9017.264062714761026367452057711450964966
1976,23338.6745122895487361445224163270045979,0.1610441415717805232682422885361533240783,7366.771332419533135247710148282292046275,78619.1458895238620667955425662635534344,0.2199719116526011182193254202678622972106,33896.2474750740706261745592915283348344,72717.9332007329870256524248980647387607,0.2295028852060312015297874878710791883064,32710.3919325438288628427004214287967354,66708.6387475258892800613647858653811301,0.2413942648937808423117261802064311520923,31562.0423125466424981589639404414262459,11910.5071419979727867341777803981723042,0.1741930440455828555057487570214170752592,4066.465890574912813304372008281250889468,101957.8204018134108029400649825905580325,0.1827338493993760411330711598995836676969,36517.0441968514595485257731493542837051,4452.754470351623437689605984779704886727,0.2641576585906292999094687105628551687657,2305.409222527403377009442228040887359324,723.716460501131554199981787215430542211,0.27919890770689812642647300193000644249,396.039256712380087888665459923533054542,408.569410353226607057502962934036034041,0.5345364626243721021838742453202709232346,428.05468479960895440406175434422127565,1132.285870854358161257484750149466576244,0.2702498402771912269168459603871121386861,599.760148463160905644706435361700788936,0,0,0,1132.285870854358161257484750149466576244,0.2702498402771912269168459603871121386861,599.760148463160905644706435361700788936,281.925417026438764993500512025960449982,0.3618057171977146104343263200492229356828,199.924366298890300275011152932516993821,395.39721596028350074720347071881654762,0.2662334872254369156239629652118963988287,206.325240102897499100771424307902276362,1011.280657144215832625789823277513995482,0.2418176085479919887604564169588670544993,479.309121359653921082084433895420030114,3518.355850019385927711983800606940191217,0.2740367952391288940445883650502496373886,1889.751564834301351506724704789821795101,13825.2129272427598989382963071996601949,0.2206015742061368652125137446658998037711,5977.732921550181280353336468117179562503,16124.4362789462819770672754002714637967,0.2165865513151029346071844903730868008287,6844.978649291928383415212124610441802859,3643.380823241527503604254745060203205474,0.3518944758011272797184966259701503526698,2512.887746479375498482567035390739433403,6.415111677902948199831994905822195719,0.9999999999999999999999999999999999999984,12.57361888868977847167071001541150360922,0,0,0,19834.9470190944717304615998286822665564,0.2010059122728503636479277407607127585357,7814.405576095206894416439655059314246847,25419.9873603004533294086905636114380193,0.1766441732160702717847371156120711487938,8800.97359482953116770226391685752835202
1977,17314.1221464880084719540077805197289704,0.1836416826334284801389275126839775421422,6232.005267631462035826675437014024654935,70148.5221209069793960558977590401636746,0.1476309219227129755637245682075518983531,20297.9383447616317102492763087689889443,64114.5600996475289289332343806462097404,0.1548687084877703243395719548938220751741,19461.5046710721299172087129045654313379,58398.5097806343410341761925433871954455,0.1586558035677291013232522513851903763227,18159.9144929526802569583407340623944634,11750.0123402726383618797052156529682288,0.1395405953197874350268653203330264134052,3213.623285273925745049990046083403227489,87462.6442673949878680099055395598926457,0.1343694044873693332336762916863936509255,23034.5147131969638728578243861577105207,1133.217594008852131330483133734525451237,0.2251234006098461396630434983408083833035,500.023044852594362133534679522109896484,366.369595982590849083182259037651614656,0.5420724539018313247183861015735554452739,389.253777221438868081210711934223161109,445.47096366554904315537238312761372735,0.3822439851600479138874661931951551232259,333.746048992228488925483501548302301675,811.840559648139892238554642165265342006,0.4389527469583201883954586816637856687909,698.464901749472755216301852936191360374,0,0,0,811.840559648139892238554642165265342006,0.4389527469583201883954586816637856687909,698.464901749472755216301852936191360374,45.00447855838747710823612683282866378869,0.5403344816879572935050328054914564911993,47.66224432714684641343088825313471036093,35.45431616466924352217106713486431432277,0.7029690284928975581617041154159311625367,48.84964093270884097130341685852114450111,296.723781274990716761975196668219836963,0.3189593697659449683315218646065708482245,185.499947329276717832233453153187676884,225.798701507778506946707657235339288323,0.4221757960086259399204487502239161459017,186.84042323165061409466897469598840506,28886.8813301408886043474853703468089018,0.3943148859637982652848330479818816122791,22325.4335423867841730274282527723720648,19634.0401647250456180810676644591265586,0.4934847628853302391664161856398268013594,18990.6353241339632379491723186174092919,9417.465514948966313086046993130042415215,0.3082070462076058323192773541299634243869,5688.957289083844608770514147571703897504,186.097302329628563411782182631285447646,0.62933655046413748018278839165783132739,229.550955225667866268186547602151689486,0,0,0,29489.8626076467145486865754182180610052,0.3874339299289601800033594680697536991792,22393.7317917654938701133492272385740676,31434.9207613037065722556131941178517984,0.3673631066047061870974660574121202288092,22634.1390876207984487117346685011310527
1978,11117.9256084272092678032255640629264857,0.1916893837132871816851877937385488572456,4177.129083777186930020297752014036731877,61795.4891787053394345646390231376603017,0.150403069962327494357723227865396175641,18216.6933133100986927331691856585851303,56387.9792249374600582631840948463380132,0.1543813333649178845595931246115308499302,17062.2927802583026768154472757032481836,50412.6028511863098235307434083542374571,0.1618658568246422108914558516426716062346,15993.75514432463893704191628643921875,11382.8863275190296110338956147834228443,0.1970613890682877257519528451687394754602,4396.529686962347825008215069671870560353,72913.4147871325487023678645872005867872,0.1463933488546729282611598013374499249981,20921.1163755515991859055520467086348629,715.002974499801932850317510800249588398,0.2882797530783657570430951718971003096308,403.996926640635900306077779036073910291,133.594429863307733162261195555819458219,0.3085379024360646283785671520017315188424,80.78913252764716355681748099273780382686,602.298288440561122565774231420839969131,0.3700607516608541992956528094030916292722,436.858436394945641204340334839193232157,563.587107156003817872132143487844659571,0.3325028937908428775311691442880396465921,367.292914303858997795530921938541162754,0,0,0,735.89271830386885572803542697665942734,0.3230989549390576555234748318646208281469,466.021689733235049524020948526116839789,142.776666778616604034734212974088636452,0.4336003860585635780972139187546295457585,121.339714957311575120405854773066022399,365.7750840302054990405760401839533169,0.6177744507023462446159751565971200379581,442.894343170034894710970941929011058569,892.922471809051635860442504825501851933,0.7158574435320753831440789040531763728934,1252.842187965475935031253934245130791741,3915.256868712711934019340380362610394832,0.5600526316055678020876484206903358343952,4297.78982895928562083960897872349921839,11580.7865551270256104040190945315602777,0.269496316231765285064133030617270450396,6117.119458719253678064560169835885094085,1968.016172164829316463496148536305917066,0.1883620001668178527733246773578932615724,726.570946597239151071966636871328252608,8265.197022066394522693623062463859245373,0.3100009131630674486086398820123097027524,5021.948503653966157007062398661428403607,5094.964933357388024143841930918060917061,0.4133202382581254666000475220028605530346,4127.470155537257117545227076523944328221,1536.195859943959446664353858157477291095,0.990251321701055185826714937185847596737,2981.59116217434200809453426624781284101,16955.3226046252469566425431329840967441,0.3109339015824533730809700193356175907259,10333.0898356887753032321846942284792132,18406.2182974289177452208960707610057598,0.2966087713405459960144051681629620092331,10700.5137566834846826440591868828890962
1979,2278.293930779900528338853431115053581015,0.2669735599296665687933428458032699930088,1192.158712882268246453005795868418202069,15700.1879800752461595432649116435095264,0.1830247857024571611357895774943625235597,5632.106139461468752310595843927717860827,14651.8846754704192008644743582843817868,0.1879516710603132210125331838842891785851,5397.538569517814302767325753087722079861,13192.4839878258797997313685030939318529,0.1904379482885029232343863283464954754528,4924.205183602155942109543044217004879582,2507.703992249366359811896408549577673496,0.2031776742443916696353487522403397186784,998.638551083660411131861782251440742244,17978.4819108551466878821183427585631074,0.1710713273729940981695679876064458709883,6028.181418697052459126993073634701642349,590.935285550782731697760337226221009907,0.4868042175112733281245858116056649367101,563.832786993405317118458889867206993226,23.07944904992589480527655800045826339824,0.7357770099591189326375049754580280004772,33.28340290637827405659918650592918564667,128.651762679156208793824853283319195551,0.4656654260562610490355203724803541206425,117.421008646521390417554286141739957048,87.38978694198895739403989002797753946103,0.4745133993215754641700320236709335781133,81.27654474094955829448061175758730688382,47.92698432718631117513119040677874042541,0.5935001066775727456217412765360231110091,55.75155380940208813929702945255618476753,151.731211729082103599101411283777458949,0.4548955957066593492248981963890368971454,135.282845495716360849960823903839379252,40.77277714364485017820852239078586878484,0.8275884266533693033138265298952298949109,66.13643383373109697866501044763340294894,85.98259633656236887531475158851598583974,0.7321154700412029467882014820413225047646,123.380410307318531501461186750409074468,67.01150705313609297493415424982029152886,0.7132426394097545740962222383867440409512,93.67910975635217655492253197630392502728,501.814140895472778433875948025945373288,0.588613217141248678620138557762628620093,578.933894323733911241983914278716416507,1997.287550118500797729739578132662827262,0.3740515346823948454894247228943538480977,1464.293407714777035290913639919483506946,427.22804585296590942508765983197221617,0.5985365677996918876975060839388854548683,501.194752135903065135167814694694383971,1784.000893193024527827982804949673214733,0.4488550370819395493067248954085661786087,1569.485262654001871393088963814037358096,332.008537260797785265483985664762776962,0.5067319746715596448363235507191595283939,329.749109720201093819475118654341411682,113.159651019578480268839977204271971766,0.4605681401161952701548393753652862866616,102.150750812318561706095445690530906827,2705.810148199348569950353793535251375987,0.3720524720906694153417271569108343613509,1973.138575105352888469176543186499641739,3448.476645479213405247215542045249844831,0.3283449003507858139540115200474235236311,2219.287852222893550636347853274477467082
1980,8432.794209485931141346022689864692919447,0.3944474090656959560553744565052609413093,6519.535901147221307394840453707494302173,40546.4601231788756152608101643743682822,0.317933071980609605204772461248737756904,25266.4788248070310626356068410682703557,37082.0139351906107340692523788871957485,0.3241180973422093753297779581737161580932,23557.1455324908988199269588101785109468,34040.775058366310549490944478971210085,0.3286818373167116139942798548964501986642,21929.6256001427107621143432499613651082,6505.685064812565065769865685403158197031,0.3542513491761533947229145375214653750361,4517.109514589004147093726674839772726836,48979.2543326648067566068328542390612011,0.3100785590879741308171600855087847868926,29767.3365530051897846982013883010563392,1320.865078530768084300941267638110342383,0.2626279607965371430184520451054394398121,679.916360041311289750458859716170159567,148.061905288849301099952723551849246198,0.2755413088797560073768303670555759781054,79.96245550989920956772290304351737999245,814.395598405902172124913260851924516843,0.5144961234999365652541210733960676659922,821.246621615485660757308957998874424215,567.392683981932465604093683551567753523,0.5808364339074324078200734026604111046274,645.942192650895502380248034803387936497,395.064819712819007620772300852206009512,0.4787375602585257320923127043333142529507,370.699441149247016573521444407821115824,962.457503694751473224865984403773763041,0.4357269364150983351811357179221453305567,821.962572648689002505038419738422509746,52.49352370854020162105769904159561089396,0.4911111347015023461540916547614328697492,50.5291018262435321265996341030527137967,218.688641364450364721714304581644312786,0.451277522386224501087295372987655903749,193.430965767959190940587327117744697875,1013.650659398473195764720699430670654521,0.608509568388754023717616992051232260244,1208.959605485180039931101878119367017335,1109.917810343490336771470992391770628471,0.3566807393376372839656740184949961508282,775.937158186762119654282175128751805129,7008.774024903874173964806065184710099395,0.3776538397035700534756566411326171633229,5187.905227354402678411502696263799379025,2973.36799431890275168307503350140698972,0.5172051017808859747207320956049533296393,3014.168548422124301147511967000216977904,2470.019788586718982368368808945336245283,0.3875942482023851701408673489978653563302,1876.436307484476055768737956615537031467,3609.606139337449700840369629007928528091,0.5348120310437029587341710967593515094952,3783.70314966788663656087716880529808058,1287.520670586246421901460729652347247108,0.740555663505873416242340932826230560836,1868.822219987708603618827938179337527606,10599.3843247014481278135865753108419369,0.3799794437647738849028655270852101681279,7893.994393500274667821705078905339264068,12882.7069069269676853393938273527260423,0.341747350004446347524581586633630294918,8629.156654799486930253157184026958383795
1981,4668.386298512426234913518728924268392125,0.2287737517295720613289025112580781094399,2093.288326145890662124286164903462950312,18721.9912680058899732503657145520573957,0.2181352286795286079415875373988151808637,8004.494659301901054644945035146579962061,16323.74726525657218998514923605385045,0.2183419410721382253889678186811549713923,6985.750980395570868987943642459193091754,14730.7144082298232714021788936009200686,0.2234452887244376609873585286052557344036,6451.357118765727574411178628417899909669,3991.276859776066701848186820951137327191,0.2534058197675201844614195850890649200541,1982.369057758548266031486010023147636492,23390.3775665183162081638844434763257879,0.1941281370050346132462407726659729348715,8899.831624831809380933501396201031578709,893.421681090362221180649540795704402847,0.3119827115685899446586934650808630314509,546.314952535848882850174539243703074298,173.821808851579145808292241419701654264,0.7994322808028027997062047667609387528475,272.35917960283399654283922600406987454,474.73548260750677227341482431211135209,0.351330147606178044286597035045454425901,326.906218869635627053301757750491665206,480.663723345869010708098599001858722327,0.3837843292159127768474687128646916507638,361.563561099726128370544918171091063717,167.893568113216907373608466729954284026,0.4018115191557935681621422976953229267468,132.224676533714439649163168480141034298,648.557291459085918081707065731813006354,0.3287541233293625337770671524702490958501,417.903132213695402222509327728252098998,118.803179802073035738817792509786137076,0.4858699458643371488172962104668244134457,113.136873296330903383471478665028781542,112.447924819798507045146733924121724486,0.5054256791722781581450195478283846939366,111.394774796177471505661611666064596886,178.294030570450282258446588941390122856,0.3581946486557555702287984050110459255165,125.173376569697924210755467107671484645,221.107865839829199135951297657880720011,0.390242015934029954164684797439978774127,169.1197354362437280960545979228115598,6404.512037187627430505326172044135156583,0.3005358912918085811133401411477597650737,3772.580037435188616024056226945793411569,1053.799905193523983738125740630189091631,0.763161930175174709561079226131903102745,1576.271140545175523346944283577764783803,2974.825145689438645549562473095745281583,0.5073966734753615254120403564884856297537,2958.456110863610602993861959838486486701,2701.59658082249652198340164176149913348,0.3118441583246452152827436050294010641354,1651.255139283488326730408151857130971867,216.156289921711319115605014283277491503,0.474165055499923497716754678142425425656,200.887768046476171594075939134160143116,7035.165038219778454683688585077313861007,0.2866708340330080637945868984252482742157,3952.882192969992964921363669751367411455,8577.144010769226593946045191604831270199,0.2591302968299929745769477739800661370505,4356.291831989883245872885580036178896767
1982,5517.73469482457048077057367421591954874,0.1966375690506297733084092413035501040094,2126.58811663097927206228702635481541353,11083.7744892797032608756080054312564349,0.1811019758998412377019421701343623240521,3934.295182456143567890299038160919625885,9414.896164024283049302103788704943729686,0.1817497548294235085425484751308953683896,3353.863936329550874205024911586589809107,7859.596495828680506713560839636972975503,0.1837417702076039437464535049473255247762,2830.506899591643499641458577117522469557,3224.177993451022754162047165794283459425,0.2079787039100172925312485000571351681405,1314.298306096162111959557467128347944443,16601.5091841042737416461816796471759837,0.1594539518416075860050329952790713109194,5188.465442042731068628222467396384095311,1310.35612657613452856074148996199471122,0.3434784474936003315225763791984418995869,882.155012519392733902529796761734204491,132.25206329110367771211093138874788519,0.4179221605870433164027268950970277057818,108.331293344116397313448111470267500264,818.590918087251547632897206716371310825,0.4073062624762953762040347133309480980053,653.497726392589066534982141003397160899,732.066522861056655512832477042713079415,0.3546399871552435297887587672403301125485,508.855322037888695286277060425427667476,218.776458517298569832175661062406116594,0.4145941209454550423493358818542097499305,177.778729664976853931105733631139568847,950.842981378355225345008138105119196014,0.3525485543343526393214663108282183465258,657.027904228453647115828498055425222056,77.15703658541325016670730996784879263935,0.588258930845186468513982463405945640812,88.96109906387954543009750018399887692873,62.71163097905621342528084758433572203309,0.3712827808911823455900986884753006298285,45.6361475384861977334749131145608952085,175.235542524386161806375400313700618024,0.3755483969017792419117553221424111168893,128.986477067483705743449044956035039097,255.050817436228357298495016882505214887,0.3069351335324491054305555794369725142007,153.436751146404136920112176241483265336,5183.624034850338930614128807465123550089,0.2953233460137055803379755006409893533815,3000.456581120171864634075646064912200259,1109.746910083436048124215348485871518351,0.3045412340400522362632586206555702867309,662.408839199131224882193260105690572966,2035.103165335431594938578507458457444119,0.4761044568266268539957162208008276327172,1899.086506751622302536736189704283206556,2299.05306678109086649659811698702520198,0.3902263268329588779738705390810770532444,1758.416025550307420106435455320688153062,322.70079481556074433149364144638587304,0.4046459405189561103514580432621532572866,255.935950583740216471771583702218068928,5845.760463259594217857483847837463445296,0.2747873325553393293527537176691259619376,3148.428211934874482952176941729013900447,8106.95957121408397176323347590457735254,0.2303139943706989195952130087888925231728,3659.606632454245155165039306475968618378
1983,3289.403092553211325500292659351353589534,0.1890241884543111779706379418408857867029,1218.682430135185534330682454159627661243,10047.1855994398527729862849605338559519,0.2390800409424219524924248643814173662622,4708.079827161576806545602098252747411679,8572.461887821150976949248160578307111867,0.2499907326390533411075531180809657180776,4200.350614599272784329079788027209733703,7233.402138477442810517463230751377738216,0.249242907584803707610876109906614803695,3533.633394219539386913675475780470943958,2813.783460962409962468821729782478213699,0.2461789634361085927134306201116213452898,1357.680819676648735328089160432287099469,13336.5886919930640984865776198852095415,0.2120059442111782137741647437495318461721,5541.774713276139075997231610688181990291,912.852336441000026306223674291281121815,0.2927129251741925447416180698026736774515,523.719208197412907002995884690917814129,6.96204174713295599272906472563822676671,0.9999999999999999999999999999999999999986,13.64560182438059374574896686225092446273,342.281685215352589429857526477169333583,0.3412024583776612084884773197587336092207,228.903210808129072354788297945019891427,6.96204174713295599272906472563822676671,0.9999999999999999999999999999999999999986,13.64560182438059374574896686225092446273,342.281685215352589429857526477169333583,0.3412024583776612084884773197587336092207,228.903210808129072354788297945019891427,349.24372696248554542258659120280756035,0.3345039182936106678553737408281465495173,228.973854412494062244755622882759871286,18.01355791366957625199034320469573521496,0.5732402224084614965607007610388594914761,20.23914805180731311630891567951216434783,73.17557555311130947697091595703761247949,0.3489547142769448580474497719779309013464,50.04852563600641845788549707950774103975,140.210020101415709056979399517741876413,0.368670118648271619842345212669216202543,101.314839703072337417751105731841941468,88.57909284289943914435203077614521327924,0.4002144587898640713693119355577057203949,69.48324205634751734963717836712344094042,3768.328625415600177049217470267392028857,0.2926200403510614028518612262400741664566,2161.269409873338441191656122426919874473,928.7407313365516319564933091459623926,0.2946935908025320540675340230752022630727,536.440124442590686696355591809115497569,1526.716762439244442500375538530844430759,0.4666364676782666615968649329520647195416,1396.346565652902884504344252645734164913,1044.029558739786664005406184900967317678,0.3074173422338423057832117504879947040299,629.067472636258475825574545148447343091,583.158536756074629790859694158347521343,0.4397869749611193486134204769636529310441,502.672436453305309456922765127920222439,4088.30687182669621097951015972301246626,0.2824139192823644481294988771453305311628,2263.005743127136939648612248242949126135,5350.40293523018178270832042521710114844,0.2302498673858300426225984835171338188076,2414.581949943110118308607466608298134906
1984,2521.511239501135394725661644194012063291,0.2024058573812827990282266072273890797142,1000.322542882426113432389326708230130094,9498.142563783706197991586505399228345564,0.2153869611853253884996952532028062342243,4009.721084888001475923518788165047584375,8375.745050902783588159315735406311449217,0.2232908317237538614798854133526228512556,3665.645074295507435111361432656648658942,7424.120662906670161481814436727268955153,0.2336767818399379661481153326143601873244,3400.29546401885848973553986958500773718,2074.021900877036036509772068671959390407,0.194426467251602939131085505356306535541,790.359712332353595222635049449770174825,12019.6538032848415927172481495932404088,0.1852351043238859386734926469590917261598,4363.865179329381656169350640676003669051,671.03550007821496553231905098865585368,0.4600371521763650517603741416862714971449,605.054470511841001355553931981641763061,21.65041404814288860314908414949656530864,0.6132427080549212794218135945561267973593,26.02283874113117340224805153607758641938,398.103624210823796412708843046588250981,0.4974468211809484863894763783897525032961,388.149349434006791905782705593374369915,43.39765126257136947227870215566985404742,0.6238633286080526373961756459489857343265,53.06543821406089609885880048057890769849,376.356386996395315543579225040414962242,0.5226824151094576951695141439987364470938,385.561135982405380911674078335951049531,419.754038258966685015857927196084816291,0.4791693869636779713034082676890922071475,394.221238968631499159063821771660987893,34.96016678379491774381523164445962011195,0.7141141662700584830961297427562126337604,48.932478696724923235761841340549214132,44.75711805744945625784474691488937514863,0.6119924165863185935234902662813185455937,53.68639300525859408375726727273200162522,145.394845370016268276061300121192526022,0.4936061278941832714921449406681598394821,140.66486181217981117951873861935119971,232.508102006791766136811664667947106334,0.3959371882871238797193217487208247026574,180.434864158588037516252260937548031483,3251.584398127937411177402537679804704429,0.4918386712887682749435466964943147394397,3134.539701918726721860241318232668486941,362.443650978269098323171124113305340487,0.3832967084155643964780397291342269787812,272.289978475936795922903708058849490294,1514.508105378996334348679691481451039256,0.4361869074882198098019283785624794054941,1294.792869428170372671181854933674993349,1754.421449839718603791459256056099828558,0.574079459456416310080460449309494005597,1974.067542462146600187836855570775699996,73.89428565154331519668008293136668197524,0.4531230565526644119756184990311479066548,65.62708096935788005146860004855717240275,3709.204630345989819591935481028293332047,0.4419737284064713885424222795862234120157,3213.167159797266629523631121204677328014,4799.994168683171470140112459213034002021,0.3856575400806670654480734918130660301535,3628.261729251960848962793233888197083875
